query_idx,query_hash,true_label,neighbor_entropy,neighbor_mean_distance,neighbor_mean_similarity,neighbor_n_play,neighbor_n_pausa,neighbor_n_stop,neighbor_majority_label,retrieval_backend
98,a15968f264a0a5a5823e5aadba00e37cec7b4706774e718e19c66e496104a3e0,pausa,1.3709505944546687,0.19862129522967265,0.8013787047703274,3,1,1,play,tfidf_lexical+svd_dense_local+pgvector_sql→rrf→rerank
99,424a5434267c76eec85fa294183a61aaba69ed6e1f50f134a26db117083466ae,pausa,1.5219280948873621,0.2440824659778748,0.7559175340221251,2,1,2,stop,tfidf_lexical+svd_dense_local+pgvector_sql→rrf→rerank
100,8b3ca72ec21a09322ffdc1d6578994edb8748e0b86f0b8cb845fcf4d77a4faf3,pausa,0.9709505944546686,-4.440892098500626e-16,1.0000000000000004,3,2,0,play,tfidf_lexical+svd_dense_local+pgvector_sql→rrf→rerank
101,606ff878553e608a6f821f8157121b3e54130dc91433d72cf20bf22121ce3cf9,pausa,0.7219280948873623,0.032061879834495245,0.9679381201655047,4,1,0,play,tfidf_lexical+svd_dense_local+pgvector_sql→rrf→rerank
102,a65ba2f69cbf36ec623f09cdee5bbb045f67d4dab1ef656c3db36b8e571e8481,play,1.3709505944546687,0.07997712370823784,0.9200228762917622,1,3,1,pausa,tfidf_lexical+svd_dense_local+pgvector_sql→rrf→rerank
103,6bee8ab2b30d7982ca3b263e1edc31f3da5ae7aee1ebccf940d823c605ba5eff,pausa,0.9709505944546686,0.3093731931111191,0.6906268068888808,3,2,0,play,tfidf_lexical+svd_dense_local+pgvector_sql→rrf→rerank
104,7da04aeb5a244fc1aa830b6c75753cb3ac623255051a293a33124ad9a84bf3d7,pausa,1.3709505944546687,0.23675574538961824,0.7632442546103817,1,3,1,pausa,tfidf_lexical+svd_dense_local+pgvector_sql→rrf→rerank
105,be2800396329f45330e450079b9f45a364e0ef4bd5f839dbd674be4e013456ce,play,1.3709505944546687,0.19573006099665127,0.8042699390033488,1,3,1,pausa,tfidf_lexical+svd_dense_local+pgvector_sql→rrf→rerank
106,70d5f6e2b5a125d696c76d001effaeb47a7542176633854823a7bd60c7ef7648,play,1.5219280948873621,0.12859860661892536,0.8714013933810746,2,2,1,pausa,tfidf_lexical+svd_dense_local+pgvector_sql→rrf→rerank
107,97802e31db5b9870d66c4a859e3be949d075e11578b6b1e67c0ca2968f1230dc,pausa,1.5219280948873621,0.2002129159076711,0.7997870840923289,2,1,2,stop,tfidf_lexical+svd_dense_local+pgvector_sql→rrf→rerank
108,0921d9615ddf476c65baf00b36b5f08f7e3338ce48884fdd2df88eb9186c2dec,pausa,0.9709505944546686,0.1491019596306315,0.8508980403693684,3,2,0,play,tfidf_lexical+svd_dense_local+pgvector_sql→rrf→rerank
109,d7c0bde7bd2d5027c392d0ae1ce53a9e40b7c111d07f3477d4940c9365048f52,pausa,1.3709505944546687,0.1177819441447339,0.8822180558552661,1,3,1,pausa,tfidf_lexical+svd_dense_local+pgvector_sql→rrf→rerank
110,b0565092ce936a2bba23e1dfc0a6ea0e18134417beb47610795a93da6767b2a7,pausa,1.3709505944546687,0.056496282643689444,0.9435037173563107,3,1,1,play,tfidf_lexical+svd_dense_local+pgvector_sql→rrf→rerank
111,a70e1fba59e0b67c8a5379fe0ac795ecd8d6259281143d0832f812a2dbb9181f,stop,1.3709505944546687,0.1397599506448206,0.8602400493551794,1,3,1,pausa,tfidf_lexical+svd_dense_local+pgvector_sql→rrf→rerank
112,e2e69148f4d375ce840b9fac3976fa3f7bb05601f33e9a70cd79b40cfaac9915,pausa,0.9709505944546686,0.0594556288766734,0.9405443711233266,3,2,0,play,tfidf_lexical+svd_dense_local+pgvector_sql→rrf→rerank
